Episode,DQN,DDQN,PERDQN,PERDDQN
743,22.0,15.0,17.0,17.0
744,19.0,18.0,10.0,16.0
745,15.0,15.0,21.0,15.0
746,16.0,15.0,18.0,19.0
747,20.0,11.0,12.0,18.0
748,12.0,19.0,9.0,9.0
749,18.0,20.0,15.0,11.0
750,15.0,19.0,9.0,18.0
751,16.0,25.0,10.0,19.0
752,22.0,18.0,17.0,12.0
753,16.0,11.0,11.0,15.0
754,13.0,21.0,18.0,14.0
755,13.0,14.0,16.0,18.0
756,22.0,19.0,17.0,8.0
757,12.0,16.0,20.0,20.0
758,20.0,14.0,18.0,13.0
759,17.0,15.0,10.0,11.0
760,15.0,15.0,11.0,19.0
